Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
CALLANT TRUCKS BVBA,Servicepartner,"Beversesteenweg 568, 8800 Roeselare, Belgien, , ",+32 (51) 22 82 38,+32 (51) 20 72 30,info@callanttrucks.be,http://www.callanttrucks.be,yes,no,no,,,,,yes,,,,,,,,,,,,,,,,,





DE LAAK LIÈGE,Servicepartner,"Rue Abot 3, 4890 Thimister-Clermont, Belgien, , ",+32 (87) 76 59 37,+32 (87) 31 54 98,liege@delaak.be,http://www.delaak.be,yes,no,yes,,,,,yes,,,,,,,,,,,,,,,,,
Patrick Wertz,Centerleiter,Telefon: +32 (87) 76 59 37,Mobil: +32 (476) 94 50 95,Fax: +32 (87) 31 54 98,E-Mail: patrick@delaak.be,            





DE LAAK NV,Servicepartner,"Bell Telephonelaan 7, 2440 Geel, Belgien, , ",+32 (14) 59 10 45,+32 (14) 59 17 34,info@delaak.be,http://www.delaak-man.be/,yes,no,yes,,,,,yes,,,,,,,,,,,,,,,,,
Jos  Vos ,Leiter Verkauf LKW,Telefon: +32 (14) 59 10 45,Mobil: +32 (475) 75 40 48,Fax: +32 (14) 59 17 34,E-Mail: jos@delaak.be,            





DE SUTTER & ZOON BVBA,Servicepartner,"Industrielaan 42, 9900 Eeklo, Belgien, , ",+32 (9) 377 91 49,+32 (9) 378 54 74,info@desutteraenzoon.be,http://www.desutter-man.be,yes,no,yes,,,,,yes,,,,,,,,,,,,,,,,,





DIESEL BERNARD BVBA,Servicepartner,"Kortrijkstraat 266, 8560 Wevelgem, Belgien, , ",+32 (56) 42 68 40,+32 (56) 41 78 35,mario@dieselbernard.be,http://www.dieselbernard.be,yes,no,yes,,,,,yes,,,,,,,,,,,,,,,,,





FREDDY WILLEMS,Servicepartner      Verkaufsstandort des Händlers -MTB - filiaal Brabant-,"Steenweg op Vilvoorde 350, 1745 Opwijk, Belgien, , ",+32 (52)35 87 72,+32 (52) 35 10 69,garage.willems@skynet.be,http://www.freddywillems.be,yes,no,yes,,,,,yes,,,,,,,,,,,,,,,,,





GARAGE GERMAINE,Servicepartner,"Beukheuvel 48, 2500 Koningshooikt, Belgien, , ",+32 (15)31 21 55,+32 (15) 31 02 75,info@germainenv.be,http://www.germaine.eu,yes,no,yes,,,yes,,yes,,,,,,,,,,,,,,,,,





GARAGE WAUTERS,Servicepartner,"Tervuursesteenweg 481, 3061 Bertem-Leefdaal, Belgien, , ",+32 (2) 766 00 66,+32 (2) 767 64 96,info@wauters-man.be,http://www.wauters-man.be,yes,no,yes,,,yes,,yes,,,,,,,,,,,,,,,,,





GARAGE WEST-TRUCKS NV,Servicepartner,"Reutelhoekstraat 1A, 8980 Zonnebeke, Belgien, , ",+32 (57) 46 69 39,+32 (57) 46 62 31,receptie@west-trucks.be,http://www.west-trucks.be,yes,no,yes,,,,,yes,,,,,,,,,,,,,,,,,





GODEFROID SPRL,Servicepartner,"Rue des Boussines 50, 6960 Vaux-Chavanne, Belgien, , ",+32 (86) 45 60 20,+32 (86) 45 61 40,manardennes@garagegodefroid.be,http://www.godefroid-man.be,yes,no,no,,,,,yes,,,,,,,,,,,,,,,,,





GRD DIEPENDAELE NV,Servicepartner,"Nederwijk Oost 275, 9400 Ninove, Belgien, , ",+32 (54) 32 67 11,+32 (54) 32 70 75,dirk@diependaele.telenet.be,,yes,no,yes,,,yes,,yes,,,,,,,,,,,,,,,,,
Els Denis,,Telefon: +32 (545) 32 67 11,Mobil: -,Fax: +32 (54) 32 70 75,E-Mail: els@diependaele.telenet.be,            





K.D.A. AUTOBEDRIJF,Servicepartner,"Woluwelaan 17-23, 1800 Vilvoorde, Belgien, , ",+32 (2) 751 84 78,+32 (2) 751 55 78,magazijn@kda-trucks.be,http://www.kda-trucks.be,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,
Karel Bohets,Geschäftsführer,Telefon: +32 (2) 751 84 78,Mobil: -,Fax: +32 (2) 752 18 63,E-Mail: karel.bohets@kda-trucks.be,            





LOCKEFEER NV,Servicepartner,"Europark Noord 1, 9100 Sint-Niklaas, Belgien, , ",+32 (3) 776 12 19,+32 (3) 766 25 19,info@lockefeer.be,http://www.lockefeer.be/,yes,no,yes,,,,,yes,,,,,,,,,,,,,,,,,





MAN BRUGGE,Servicepartner,"IZ Herdersbrug West, Gotevlietstraat 26, 8000 Brugge, Belgien, , ",+32 (50) 31 40 27,+32 (50) 32 09 22,info@manbrugge.be,http://www.manwestvlaanderen.be,yes,no,yes,,,,,yes,,,,,,,,,,,,,,,,,





MAN KEMPEN LIMBURG LUIK,Servicepartner,"Bell Telephonelaan 7, 2440 Geel, Belgien, , ",+32 (14) 56 59 16,+32 (14) 59 07 05,info@mkll.be,http://www.mkll.be,,,,,,yes,,,,,,,,,,,,,,,,,,,
Marc Van Rooy ,,Telefon: +32 (14) 56 59 16,Mobil: -,Fax: +32 (14) 59 07 05,E-Mail: marc.vanrooy@mankempenlmburg.be,            





MAN LUXEMBOURG,MAN-Servicebetrieb,"Allee du Centre Ardenne 140, 6840 Longlier-Neufchateau, Belgien, , ",+32 (0) 61 32 18 88,+32 (0) 61 32 18 89,Luxembourg@man.eu,http://www.man.be,yes,no,yes,,,yes,,yes,,,,,,,,,,,,,,,,,





MAN OOST-VLAANDEREN,Servicepartner,"Dijkstraat 13, 9160 Lokeren, Belgien, , ",+32 (0) 9 348 88 11,+32 (0) 9 348 09 69,verkoop@man.eu,,,,,,,yes,,,,,,,,,,,,,,,,,,,





MAN WEST-VLAANDEREN NV,Servicepartner,"Noordlaan 1, 8820 Torhout, Belgien, , ",+32 (50) 23 07 70,+32 (50) 23 07 71,info@manwest-vlaanderen.be,http://www.manwest-vlaanderen.be,yes,no,yes,,,yes,,yes,,,,,,,,,,,,,,,,,
Peter Bogaert,,Telefon: +32 (50) 23 07 70,Mobil: +32 (474) 43 41 87,Fax: +32 (50) 23 07 71,E-Mail: peter.bogaert@manwest-vlaanderen.be,            





MAN ZUID VLAANDEREN,Servicepartner,"Transvaalstraat 49z, 8793 Waregem, Belgien, , ",+32 (56) 60 35 02,+32 (56) 61 09 73,info@manzuidvlaanderen.be,http://www.manzuidvlaanderen.be/,yes,no,yes,,,yes,,yes,,,,,,,,,,,,,,,,,





MTB - FILIAAL ANTWERPEN,MAN-Servicebetrieb,"Nijverheidsstraat 95, 2160 Wommelgem, Belgien, , ",+32 (3)355 16 30,+32 (3) 355 16 40,antwerpen@man.eu,http://www.man.be,yes,yes,yes,,,yes,,yes,,,,,,,,,,,,,,,,,





MTB - FILIAAL BRABANT,MAN-Servicebetrieb,"Brusselsesteenweg 406, 1730 Kobbegem (Asse), Belgien, , ",+32 (2) 454 85 10,+32 (2) 454 85 29,Brabant@man.eu,http://www.man.be,yes,yes,yes,,,yes,yes,yes,,,yes,yes,yes,,,,yes,,,,,,,,
Jozef Geeroms,Ansprechpartner Zahlungsgarantie BUS,Telefon: +32 (2) 454 85 15,Mobil: +32 (473) 99 51 36,Fax: +32 (2) 454 85 29,E-Mail: jozef.geeroms@man.eu,            





MTB - FILIAAL HAINAUT,MAN-Servicebetrieb,"Rue de Liege 3, 6180 COURCELLES, Belgien, , ",+32 (71) 37 37 37,+32 (71) 91 90 17,Serge.Lion@man.eu,http://www.man.be,yes,yes,yes,,,yes,,yes,,,,,,,,,,,,,,,,,





MTB - FILIAAL TOURNAI,MAN-Servicebetrieb,"Grand Route 644, 7534 Barry - Tournai, Belgien, , ",+32 (69) 54 59 10,+32 (69) 54 59 11,Vincent.lory@man.eu,http://www.man.be,yes,no,yes,,,yes,,yes,,,,,,,,,,,,,,,,,
24h technieker Depannage,Direktor,Telefon: +32 (69) 54 59 10,Mobil: +32 (473) 78 01 09,Fax: -,E-Mail: -,            





NEYT TRUCK & BUS BVBA,Servicepartner,"Dijkstraat 11, 9160 Lokeren, Belgien, , ",+32 (9) 348 88 11,+32 (9) 348 09 69,info@neyt-man.be,http://www.neyt-man.be/,yes,yes,yes,,,yes,,yes,,,,,,,,,,,,,,,,,





NEYT TRUCKS BVBA,Servicepartner,"Leenstraat 4, 9750 Zingem, Belgien, , ",+32 (9) 384 84 98,+32 (9) 384 53 46,info@neyt-man.be,http://www.neyt-man.be/,yes,no,yes,,,yes,,yes,,,,,,,,,,,,,,,,,





NOORD TRUCKS,Servicepartner,"Heihoefke 4 E, 2960 Sint-Lenaarts, Belgien, , ",+32 (475) 60 25 88,,info@noordtrucks.be,,yes,no,yes,,,,,yes,,,,,,,,,,,,,,,,,





TRUCK & TRAILER DICKENS NV,Servicepartner,"Industrie Terrein Hoge Mauw 930, 2370 Arendonk, Belgien, , ",+32 (14)67 00 45,+32 (14) 67 74 22,info@dickens-man.be,http://www.dickens-man.be/,yes,no,yes,,,,,yes,,,,,,,,,,,,,,,,,





TRUCK CENTER FREDERIX,Servicepartner,"Schemkensstraat 8, 3583 Paal-Beringen, Belgien, , ",+32 (11)42 29 31,+32 (11) 42 87 21,info@frederix-man.be,http://www.frederix-man.be/,yes,yes,yes,,,yes,,yes,,,,,,,,,,,,,,,yes,,





TRUCK SERV. STATION INTER. (T.S.S.I.),Servicepartner,"Weg naar Meeuwen 54, 3660 Opglabbeek, Belgien, , ",+32 (89) 81 07 90,+32 (89) 81 25 52,info@tssi.be,http://www.tssi-man.be/,yes,no,yes,,,,,yes,,,,,,,,,,,,,,,,,
Sabine Gielkens,MA Buchhaltung LKW,Telefon: +32 (89) 81 07 90,Mobil: -,Fax: +32 (89) 81 25 52,E-Mail: sabine@tssi.be,            
Marijke Weltjens,Ansprechpartner Pannenruf Lkw,Telefon: +32 (89) 81 07 90,Mobil: +32 (495) 36 58 40,Fax: +32 (89) 81 25 52,E-Mail: marijke@tssi.be,            
Sefa Yoldas,Werkstattmeister LKW,Telefon: +32 (89) 81 07 95,Mobil: -,Fax: +32 (89) 81 04 79,E-Mail: yoldas@tssi.be,            
Edwin Nicoli,Werkstattmeister LKW,Telefon: +32 (89) 81 07 95,Mobil: -,Fax: +32 (89) 81 04 79,E-Mail: edwin@tssi.be,            
Jeannine Broux,MA Buchhaltung LKW,Telefon: +32 (89) 81 07 90,Mobil: -,Fax: +32 (89) 81 25 52,E-Mail: jeannine@tssi.be,            
Peter Vanminsel,MA Buchhaltung LKW,Telefon: +32 (89) 81 07 92,Mobil: -,Fax: +32 (89) 81 25 52,E-Mail: peterv@tssi.be,            
Joachim Geebelen,MA Ersatzteilverkauf LKW,Telefon: +32 (89) 81 07 94,Mobil: -,Fax: +32 (89) 79 15 45,E-Mail: magazijn@tssi.be,            
Bjorn Nouwen,KulanzabfragerLeiter Teile und Zubehör,Telefon: +32 (89) 81 07 94,Mobil: +32 (476) 23 03 49,Fax: +32 (89) 79 15 45,E-Mail: bjorn@tssi.be,            





WORLD TRUCK SERVICES SPRL,Servicepartner,"Rue du Polissou 4, 5590 Ciney, Belgien, , ",+32(0)83655083,+32(0)83611083,eric.wts@skynet.be,,yes,no,yes,,,,,yes,,,,,,,,,,,,,,,,,





