Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
ARC CHEN JEN WORKSHOP,Servicepartner,"No. 11, Jinfu Rd., Qianzhen Dist., 80668 Qianzhen Dist. Kaohsiung, China, Region Taiwan , , ",+886(0)78126526,,winson_tsao@arcmotor.com.tw,,yes,yes,no,,,yes,,,,,,,,,,,,,,,,,,,





ARC LIN-KO WORKSHOP,Servicepartner,"No. 45-36, Dahu Rd., Guishan Dist., 33373 Guishan Dist. Taoyuan City, China, Region Taiwan , , ",+886(0)33979700,,Powerhui_Jeng@arcmotor.com.tw,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





ARC TOU-FEN WORKSHOP,Servicepartner      Verkaufsstandort des Händlers -ARC Lin-Ko Workshop-,"No. 231, Zhonghua Rd., 35154 Toufen City, China, Region Taiwan , , ",+886(0)37625600,,Hart_Hsleh@arcmotor.com.tw,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





ARC WU CHI WORKSHOP,Servicepartner,"No. 21-9, Wunan Rd., Wuqi Dist., 43547 Wuqi Dist Taichung, China, Region Taiwan , , ",+886(0)426397009,,Polo_Lin@arcmotor.com.tw,,yes,yes,no,,,yes,,,,,,,,,,,,,,,,,,,





