Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
AVELINO ABREU SAS,Servicepartner,"Avenida John F. Kennedy km 6 1/2 (Autopista Duarte), - Santo Domingo, Dominikanische Republik, , ",+1(809)5626820,+1(809)5673787,avelinoabreu@avelinoabreu.com,,yes,yes,no,no,yes,yes,yes,,,yes,,,,,,,,,,,,,,,





AVELINO ABREU SAS,Servicepartner,"Autopista Duarte, Km 13, n/a Santo Domingo, Dominikanische Republik, , ",+1(8809)2744111,,avelinoabreu@avelinoabreu.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,
Matos Natan,Leiter WerkstattWerkstattmitarbeiter BusWerkstattmeister LKW,Telefon: +1(809)2744111,Mobil: -,Fax: -,E-Mail: natan.matos@avelinoabreu.com,            





