Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
OM MOTORS,Servicepartner,"N.H 8, BHAGWANDA KHURD , DIST. RAJSAMAND, 1 RAJSAMAND, Indien, , ",+91(0)9672970931,,ommotorudr@yahoo.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





ARN MOTORS.,Servicepartner,"269/5A, Trichy-Chennai Main road, 621105 Trichy, Indien, , ",+91(0)9443766966,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





ASHA AUTOMINE PVT LTD,Servicepartner      Verkaufsstandort des Händlers -Sai Automobiles-,"Sy.No.126/3B3, Somavarappadu Village, 534450 VIJAYAWADA, Indien, , ",+91(40)40030555,,srinivas@ashaautomine.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





ASHA AUTOMINE PVT. LTD.,Servicepartner,"Door No. 6-127, Sy, No. 360 & 374E, Tammarabanda Palem Village, Kodad Mandal, Suryapet Dist, Kodad -, 508206 Kodad, Indien, , ",+91(0)9848284857,,srinivas@ashaautomine.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





BHAGYODAYA AUTOMOTIVE,Servicepartner,"GAT no 42, Hissa No 2, Grampanchayat Property no 81, A/P- Chimbali, Taluka Khed,District- Pune -, 410501 Pune, Indien, , ",+91(20) 24375690,,rushikesh@bhagyodaya.net,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,
Vikrant Setiya,Direktor,Telefon: +91(020) 24375690 ,Mobil: +91(0) 9372802111,Fax: -,E-Mail: vikrant@bhagyodaya.net,            
Vikrant Setiya,Direktor,Telefon: +91(020) 24375690 ,Mobil: +91(0) 9372802111,Fax: -,E-Mail: vikrant@bhagyodaya.net,            





BIRENDRA MOTORS,Servicepartner,"At: Baliposi, PO-Rudhia, PS-Panikoli, Dist.-Jajpur, 755043 Jajpur, Indien, , ",+91(0)9437080037,,pradipkumarbeuria008@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





BIRENDRA MOTORS,Servicepartner,"At : Tonto, P.O Bhadrasahi, Ps :Barbil, Dist: Keonjhar, Odisha -, 758035 Barbil, Indien, , ",+91(0)9437080037,,,,yes,yes,no,,,,yes,,,,,,,,,,,,,,,,,,





COALFIELD EQUIPMENTS PVT. LTD.,Servicepartner,"NH-2, G.T.Road, 826004 Dhanbad, Indien, , ",+91(0)3262291420,,cepltd.2011@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





DEVSHI EARTHMOVERS PVT. LTD.,Servicepartner,"Industrial Area Sirgitti, 495001 Bilaspur, Indien, , ",+91(0)7752 213010,,,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





G.D. MOTORS,Servicepartner,"NH-37, 781034 Guwahati, Indien, , ",+91(0)3612513019,,gdmotors.mantrucks@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





