Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
AVAR AUTO SIA,Servicepartner      Verkaufsstandort des Händlers -Avar Auto SIA-,"GATVES, LV-2166 Mārupes district - Jaunmarupe, Lettland, , ",+371 (6)7415425,+371 (6)7607290,service@man.lv,https://www.man.lv,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,yes,yes,,,,,,,,,,,,





LATINA SIA,Servicepartner,"Kurzemes prospekts 23, 1067 Rīga, Lettland, , ",+371 (6)7407342,+371(6)7440557,latina@latina.lv,http://www.latina.lv,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,
Imants Šulcs,Centerleiter,Telefon: +371 (6)7440565,Mobil: -,Fax: +371 (6)7440566,E-Mail: imants.sulcs@latina.lv,            





LATINA SIA LIEPĀJA,Servicepartner,"Brīvības iela 146a, 3402 Liepāja, Lettland, , ",+371(6)3489262,+371(6)3427241,ard.liepaja@latina.lv,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





UNITRUCK SIA,Servicepartner,"Piebalgas iela 95, 4101 Cēsis, Lettland, , ",+371 (2)6350600,,serviss@unitruck.lv,http://www.unitruck.lv,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





