Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
MAN TRUCK & BUS (M) SDN. BHD.,MAN-Servicebetrieb,"Lot 4, Jalan Industri 3/2 Taman Industri Integrasi Rawang, 48000 Rawang, Selangor Darul Ehsan, Malaysia, , ",+60(3) 60 92 69 77,+60(3) 60 93 67 45,,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,
Bala Marapun,Werkstattmeister BUSWerkstattmeister LKW,Telefon: +60(3) 60 92 69 77,                Mobil: -,                Fax: +60(3)60926966,                E-Mail: bala@mtbm.com.my,            





MAN TRUCK & BUS (M) SDN. BHD. (JB),MAN-Servicebetrieb,"Lot 17B, Kawasan Perindustrian Tebrau III, Mukim Tebrau, Daerah Johor Bahru, 81100 Johor Bahru, Malaysia, , ",+6(07)3531027,,navin.manogaran@man.eu,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





MAN TRUCK & BUS (M) SDN. BHD. (PRAI),MAN-Servicebetrieb,"No. 2936, Jalan Perusahaan Baru 1, Kawasan Perushaan Perai, 13600 Prai, Malaysia, , ",+6(04)397 0148,+6(04)397 0149,vikniisbaran.kunabalan@man.eu,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





RIBUAN PERTAMA SDN. BHD.,Servicepartner,"No. 72-74, Market Road, 96007 Sibu, Malaysia, , ",+60(84) 32 50 33,+60(84) 33 52 96,ribuan@streamyx.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





