Company Name	Service Partner	Address	Phone Number	Fax	Email	Website	LKW-Service	Bus-Service	MAN Van-Service	Schiffsmotoren-Service	Industriemotoren-Service	LKW-Verkauf	Bus-Verkauf	MAN Van-Verkauf	Schiffsmotoren-Verkauf	Industriemotoren-Verkauf	LKW-MAN_TopUsed	Bus-MAN_TopUsed	MAN Van-MAN_TopUsed	Schiffsmotoren-MAN_TopUsed	Industriemotoren-MAN_TopUsed	LKW-BusTopService	Bus-BusTopService	MAN Van-BusTopService	Schiffsmotoren-BusTopService	Industriemotoren-BusTopService	LKW-eMobility	Bus-eMobility	MAN Van-eMobility	Schiffsmotoren-eMobility	Industriemotoren-eMobility
AGENCIA CENTRAL POTOSINA	Servicepartner	"Av. Juárez 3815 Fraccionamiento Las Mercedes, 78395 San Luis Potosi, Mexico, , "	+ (52) 4441319127		manplanta@centralpotosina.onmicrosoft.com		yes	yes	no			yes	yes																		
Antonio Martinez	Leiter Werkstatt	Telefon: + (52) 4441319127	Mobil: -	Fax: -	E-Mail: antonio.martinez@centralpotosina.com.mx	            																									
																															
																															
																															
																															
																															
AUTO CAMIONES DEL SURESTE S.A. DE C.V.	Servicepartner	"Boulevar. Belisario Domínguez No. 5895, Col. La Gloria, 29028 Tuxtla Gutierrez, Chiapas, Mexico, , "	+52 (96) 161554001		carlos.cabrera@vw-tapachula.com.mx		yes	yes	no																						
Carlos Cabrera		Telefon: +52(96)16153988	Mobil: -	Fax: -	E-Mail: carlos.cabrera@vw-tapachula.com.ma	            																									
Juan Toledo		Telefon: +52(96)16153988	Mobil: -	Fax: -	E-Mail: juan.toledo@vw-tapachula.com.mx	            																									
																															
																															
																															
																															
																															
BRALMEX AUTOBUSES Y CAMIONES S.A. DE C.V.	Servicepartner	"Ave. Martel 102 Carretera Monterrey – Saltillo Km. 65, 66367 Santa Catarina, Nuevo Leon, Mexico, , "	+52 (81) 81246970		alejandro.osuna@vwbralmex.com.mx		yes	yes	no			yes	yes																		
Marco Antonio Ibarra	Leiter Verkauf Dienstleistungen	Telefon: +52(81)81246990	Mobil: -	Fax: -	E-Mail: marco.ibarra@vwbralmex.com.mx	            																									
Jorge Chávez	Leiter After Sales	Telefon: +52(81)81246970	Mobil: -	Fax: -	E-Mail: jorge.chavez@vwbralmex.com.mx	            																									
																															
																															
																															
																															
																															
CAMIONES EUROPEOS	Servicepartner	"Av. santa rosa 27 Colonia la joya Ixtacala, 54160 Tlanepantla, Edo de México, Mexico, , "	+52 (55) 40403900				yes	yes	no			yes	yes																		
Francisco Montiel	Leiter After Sales	Telefon: +52 (55) 40403900	Mobil: -	Fax: -	E-Mail: francisco.montiel@camioneseuropeos.com.mx	            																									
																															
																															
																															
																															
																															
CAMIONES EUROPEOS SUCURSAL TOLUCA	Servicepartner	"Blvd. Alfredo del Mazo 1002, Col. Zona Industrial, 50071 Toluca, Mexico, , "	+52(72)24548000				yes	yes	no																						
Bruno Varela	Centerleiter	Telefon: +52(72)24548000	Mobil: -	Fax: -	E-Mail: bruno.varela@camioneseuropeos.com.mx	            																									
																															
																															
																															
																															
																															
CAMIONES LA HUERTA S.A DE C.V	Servicepartner	"Av.Francisco I. Madero Oriente #1845, Elías Pérez Ávalos, 58218 Morelia, Mexico, , "	+52(44)33232022				yes	yes	no																						
Rigoberto Quiroz	Leiter After Sales	Telefon: +52(44)33232022	Mobil: -	Fax: -	E-Mail: rigoberto.quiroz@vwmorelia.com.mx	            																									
																															
																															
																															
																															
																															
CAMIONES METROPOLITANOS GR	Servicepartner	"Av. Insurgentes No. 4030, 14000 Ciudad de Mèxico, Mexico, , "	+52(55)43290773		yessica.morales@vwcamiones-gr.com		yes	no	no																						
																															
																															
																															
																															
																															
"CYMA MOTORS S.A DE C.V SUCURSAL VERACRUZ,VERACRUZ"	Servicepartner	"Av. Miguel Alemán No.1170. Col. Centro, 91700 Veracruz, Mexico, , "	+52(22)99376600				yes	yes	no																						
																															
																															
																															
																															
																															
CYMA MOTORS S.A DE C.V SUCURSAL XALAPA	Servicepartner	"Carretera Nacional Mexico-Veracruz Km 324 #127, 91000 Xalapa, Mexico, , "	+52(22)88153866		jadmxal@gmail.com		yes	yes	no																						
																															
																															
																															
																															
																															
