Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
MINES UP LLC,Servicepartner,"Monnis building 4th floor, four seasons garden, khan-uul district 15th khoroo, 17013 ulaanbaatar, Mongolia, Mongolei, , ",+976(11)311687,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





SOKOL LLC,Servicepartner,"Barilgachdyn Square 20, 61029 Erdenet Mongolia, Mongolei, , ",+976 (0) 7035 7408,,altanshagai@sokol.mn,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,
Mishigdorj  Tsenddorj ,,Telefon: +976 (0) 9595 9477,Mobil: -,Fax: -,E-Mail: tsend@sokol.mn,            





