Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
"""FLAGMAN TRUCKS BUSINESS""LLC",Servicepartner,"S.OLIMOVA,24, 100160 Tashkent, Usbekistan, , ",+998(90)9510024,,TRUCKSTOCK2020@YANDEX.RU,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,





"""MAGISTRAL DIESEL SERVICE"" LLC",Servicepartner,"KFJ ERKIN, Highway M39, 111818 TASHKENT, Usbekistan, , ",+9(9890)9405010,,man.mds@mail.ru,http://magistral.gl.uz,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,
BOBUR NURMUKHAMEDOV,ErsatzteilverkaufLeiter Teile und Zubehör,Telefon: +9(9890)9405010,Mobil: +9(9890)9405010,Fax: -,E-Mail: man.mds@mail.ru,            





"""PROF TRUCK SALE"" LLC",Servicepartner,"Oqmasjid, 2, 200103 Bukhara, Usbekistan, , ",+9(9891)4081100,+9(9865)2287824,Proftrucksale.man@mail.ru,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





"""QARSHI TRANS SERVIS KAFOLAT"" LLC",Servicepartner,"SOHIBKOR 3, 111777 QARSHI, Usbekistan, , ",+9(9897)7961771,,,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





"""TRUCK SERVICE CENTER"" LLC",Servicepartner,"Gijduvanskaya street, 69, 200111 Bukhara, Usbekistan, , ",+9(9890)2989919,+9(9878)7700321,manbukhara@mail.ru,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





"""TURON AVTO LEASING"" LLC",Servicepartner,"Belariq street, 713, 111802 Zangiota district, Tashkent region, Usbekistan, , ",+9(9898)1152173,,turon_avto_leasing@mail.ru,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





AUTO ASIA SAM SERVICE LLC,Servicepartner,"Gagarina 3a, 140100 Samarkand, Usbekistan, , ",+998(66)234 48 34,+998(66)2344834,avtozaz.uz@mail.ru,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





AVTOSANKOMPLEKT QOQAND LLC,Servicepartner,"Sarakamish, 1, 150700 Kokand, Usbekistan, , ",+998(73)552 10 34,,mankokand@mail.ru,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





IDEAL TEHNO UNIT LLC,Servicepartner,"Tashkent Circle road, 100190 Tashkent, Usbekistan, , ",+998(93)5057778,+998(71)2256799,manideal@mail.ru,http://man-centr.uz/,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,
Abror Islomov,Leiter Verkauf DienstleistungenMA Reparaturannahme LKW,Telefon: +998(90)9164434,Mobil: -,Fax: -,E-Mail: aislomov@mail.ru,            





JV MAN AUTO-UZBEKISTAN LLC SERVICE CENTER,Servicepartner,"1, Tashkent street, 140400 Samarqand region, Djambay district, Usbekistan, , ",+998(71) 202-22-33,+998(71) 202-50-05,A.Abdiraimov@man.uz,http://man-sdc.uz,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,
Avaz Abdiraimov,MA Reparaturannahme BUSKulanzabfrager,Telefon: +998(71) 202-22-33,Mobil: -,Fax: +998(71) 202-50-05,E-Mail: A.Abdiraimov@man-mn.uz,            





MOPAR TECHNO GROUP LTD,Servicepartner,"Azimov street, 1, 130100 Djuzak, Usbekistan, , ",+998(97)7740333,,manservis-mopar@mail.ru,,yes,yes,no,,,yes,,,,,,,,,,,,,,,,,,,





QIZILTEPA TRANS SERVIS KAFOLAT LLC,Servicepartner,"Karmaninsky district, Malik makhalla, 210611 Navoi region, Usbekistan, , ",+998(90) 944 04 07,+998(90) 944 04 07,man-navoi@mail.ru,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,
Sherzod Temirov,DirektorKundenbetreuer,Telefon: +998(97)2287777,Mobil: -,Fax: -,E-Mail: man-navoi@mail.ru,            





TEXNIK DIZEL SERVIS,Servicepartner,"Uysozlar 23a Yashnabad district, 100146 Taschkent, Usbekistan, , ",+998(71)205 09 90,+998 (71)280 34 50,anvar_1012@mail.ru,http://tdservis.uz/,yes,no,no,,,,,,,,,,,,,,,,,,,,,,
Abror Islomov,Kontaktperson Solution Guide LKW,Telefon: +998(71)205-09-90,Mobil: +998(90)916-44-34,Fax: +998(71)280-34-50,E-Mail: aislomov@mail.ru,            





TOSHAVTOTA’MIRXIZMAT,Servicepartner,"Yangishakhar street, 7, 100206 Tashkent, Usbekistan, , ",+998(371)2217854,,,http://tshtx.uz/,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





UGRENCH REGION TRANS,Servicepartner,"Jayhun street, 220100 Ugrench, Usbekistan, , ",+99(98)277-2200,+99(98)23-7368,gofur05@mail.ru,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





