Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
OXENHALL TRADING (PTY) LTD,Servicepartner,"Colchester Road, Belmont, Zimbabwe Bulawayo, Zimbabwe, , ",+263(0) 964 0476,,peterandrew@matland-truckandbus.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





ZIMBABWE MOTOR DISRTIBUTORS T/A HARARE TRUCK & BUS,Servicepartner,"157 Willowvale road, 263 Harare, Zimbabwe, , ",+26(0)4 620964,,jrmusariri@gmail.com,http://www.zmd.co.zw,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,
Brian Chikasha,Direktor,Telefon: +26(0)34660515,Mobil: -,Fax: -,E-Mail: -,            





